sl.no,Date and Time,,vehicle_number
,
0,Tue Mar 30 14:33:21 2021,
,date,
0,Tue Mar 30 15:21:19 2021,AP09BN7886
,date,
0,Wed Mar 31 10:23:48 2021,HR26DK8337
,date,
0,Thu Apr  1 16:13:33 2021,HR26DK8337
,date,
0,Thu Apr  1 16:14:17 2021,
,date,
0,Thu Apr  1 16:14:31 2021,MH1IZDE1433
,date,
0,Thu Apr  1 16:14:40 2021,
,date,
0,Thu Apr  1 16:14:47 2021,
,date,
0,Thu Apr  1 16:15:00 2021,MH20EJ0364
,date,
0,Thu Apr  1 16:29:31 2021,MH20EJ0364
,date,
0,Thu Apr  1 16:29:51 2021,MH20EJ0364
,date,
0,Sat Apr  3 10:37:08 2021,MH20EJ0364
,date,
0,Sat Apr  3 10:37:11 2021,MH20EJ0364
,date,
0,Sat Apr  3 10:39:38 2021,MH20EJ0364
,date,
0,Sat Apr  3 11:01:02 2021,
,date,
0,Sat Apr  3 11:09:01 2021,
,date,
0,Sat Apr  3 11:14:05 2021,
,date,
0,Sat Apr  3 11:14:11 2021,
,date,
0,Sat Apr  3 11:14:35 2021,
,date,
0,Sat Apr  3 11:14:40 2021,
,date,
0,Sat Apr  3 11:15:02 2021,KLO7BF5000
,date,
0,Sat Apr  3 11:17:38 2021,
,date,
0,Sat Apr  3 11:18:04 2021,
,date,
0,Sat Apr  3 11:19:08 2021,NHO4DW8351
,date,
0,Sat Apr  3 11:19:24 2021,
,date,
0,Sat Apr  3 11:19:30 2021,
